No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,1720.0,1640.0,1740.0,1370.0
2,1630.0,1530.0,1730.0,1350.0
3,1500.0,1430.0,1580.0,1350.0
4,1450.0,1360.0,1550.0,1330.0
5,1390.0,1290.0,1440.0,1330.0
6,1300.0,1220.0,1370.0,1310.0
7,1270.0,1180.0,1290.0,1240.0
8,1200.0,1150.0,1260.0,1200.0
9,1160.0,1050.0,1190.0,1140.0
10,1100.0,997.0,1150.0,1070.0
11,1060.0,974.0,1100.0,1010.0
12,978.0,899.0,1050.0,992.0
13,923.0,831.0,1000.0,938.0
14,918.0,789.0,958.0,913.0
15,862.0,782.0,915.0,891.0
