No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,914.0,851.0,953.0,952.0
2,926.0,854.0,954.0,953.0
3,920.0,849.0,953.0,953.0
4,915.0,829.0,946.0,947.0
5,915.0,840.0,945.0,952.0
6,905.0,826.0,941.0,948.0
7,898.0,806.0,944.0,953.0
8,911.0,778.0,941.0,937.0
9,901.0,740.0,929.0,926.0
10,886.0,699.0,942.0,915.0
11,869.0,699.0,928.0,885.0
12,880.0,652.0,924.0,852.0
13,842.0,569.0,930.0,812.0
14,780.0,576.0,919.0,777.0
15,835.0,540.0,911.0,750.0
