No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,920.0,854.0,952.0,956.0
2,924.0,836.0,954.0,954.0
3,922.0,856.0,954.0,955.0
4,737.0,852.0,950.0,954.0
5,906.0,838.0,939.0,947.0
6,888.0,828.0,936.0,946.0
7,889.0,774.0,941.0,945.0
8,895.0,781.0,938.0,865.0
9,882.0,719.0,930.0,921.0
10,858.0,681.0,938.0,882.0
11,683.0,687.0,920.0,893.0
12,860.0,631.0,919.0,837.0
13,852.0,577.0,939.0,807.0
14,799.0,558.0,910.0,783.0
15,806.0,504.0,921.0,734.0
