No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,926.0,749.0,955.0,954.0
2,919.0,838.0,954.0,952.0
3,920.0,847.0,953.0,955.0
4,911.0,835.0,952.0,950.0
5,894.0,738.0,950.0,947.0
6,776.0,824.0,951.0,948.0
7,869.0,769.0,945.0,877.0
8,888.0,686.0,935.0,941.0
9,889.0,721.0,933.0,926.0
10,899.0,703.0,925.0,909.0
11,856.0,686.0,928.0,898.0
