No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,887.0,823.0,778.0,808.0
2,915.0,893.0,773.0,942.0
3,903.0,884.0,777.0,942.0
4,790.0,793.0,773.0,768.0
5,839.0,798.0,599.0,754.0
6,897.0,844.0,763.0,942.0
7,855.0,519.0,761.0,925.0
8,877.0,466.0,715.0,926.0
9,850.0,781.0,751.0,941.0
10,795.0,745.0,751.0,925.0
11,856.0,695.0,559.0,892.0
,,,,
