No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,831.0,807.0,760.0,804.0
2,915.0,820.0,760.0,926.0
3,919.0,785.0,761.0,763.0
